onko;tyyppi;nro;nykyiset_kunnat;kuva_1_yleiskuva_sankarihautausmaasta;kuva_1_kuvaajan_nimi;kuva_2_yksittäinen_hauta_risteineen_muistolaattoineen;kuva_2_kuvaajan_nimi;kuva_3_muistomerkki;kuva_3_kuvaajan_nimi;kuva_4_yleiskuva;kuva_4_kuvaajan_nimi;kuva_5_muu_muistomerkki;kuva_5_kuvaajan_nimi;kuvaukset_toteuttanut_kameraseura;hautausmaan_nimi;arkkitehti;hautoja;perustettu;paljastettu;nimi;kuvanveistäjä;pituus_n;leveys_e;tarkka_katuosoite
on;hmaa;93;Iisalmi, Vanhankirkon hautausmaa;093_iisalmi_vanhankirkon_hautausmaa_01.jpg;Jari Intonen;093_iisalmi_vanhankirkon_hautausmaa_02.jpg;Jari Intonen;093_iisalmi_vanhankirkon_hautausmaa_03.jpg;Jari Intonen;093_iisalmi_vanhankirkon_hautausmaa_04.jpg;Jari Intonen;ei_ole;ei_ole;Iisalmen Kameraseura ry;Vanhan hautausmaan sankarihaudat;Rafael Blomstedtin;238;1948;1948;Kiviristi;Toteuttajana Kaatuneitten muistotoimikunta, jota johti vt. kirkkoherra Eero Niininen;63.34.44;27.10.23;Kirkkotie 10, 74120 Iisalmi
on;hmaa;94;Iitti;094_iitti_01.jpg;Jyri Kaukiainen;094_iitti_02.jpg;Jyri Kaukiainen;094_iitti_03.jpg;Jyri Kaukiainen;094_iitti_04.jpg;Jyri Kaukiainen;094_iitti_05.jpg;Eija Leppänen;Kouvolan kameraseura ry;Vanha hautausmaa;ei ole;255;ei_ole;1950;Sankariristi;Arvo Muroma;60.56.14;26.24.08;Iitintie 846, 47520 Iitti kk
on;hmaa;95;Iitti, Vuolenkoski;095_iitti_vuolenkoski_01.jpg;Jyri Kaukiainen;095_iitti_vuolenkoski_02.jpg;Eija Leppänen;095_iitti_vuolenkoski_03.jpg;Eija Leppänen;095_iitti_vuolenkoski_04.jpg;Eija Leppänen;ei_ole;ei ole;Kouvolan kameraseura ry;Vuolenkosken hautausmaa;ei ole;41;ei ole;1950;Sinun edessäsi isänmaa;Arvo Muroma;61.04.53;26/06/41;Taarastintie 179, 19160 Huutotöyry
on;hmaa;97;Ilmajoki;097_ilmajoki_01.jpg;Petri Naukkarinen;097_ilmajoki_02.jpg;Petri Naukkarinen;097_ilmajoki_03.jpg;Petri Naukkarinen;097_ilmajoki_04.jpg;Petri Naukkarinen;097_ilmajoki_05.jpg;Petri Naukkarinen;Seinäjoen Kamerakerho;ei_ole;ei ole;ei ole;ei ole;ei ole;ei ole;ei ole;62.727456;22.563381;Kirkkotie 18, 60800 Ilmajoki
on;hmaa;105;Inkoo;105_inkoo_01.jpg;Kari Huhtilainen;105_inkoo_02.jpg;Kari Huhtilainen;105_inkoo_03.jpg;Kari Huhtilainen;105_inkoo_04.jpg;Kari Huhtilainen;ei ole;ei_ole;Vihdin kameraseura ry;Inkoon hautausmaa;Rafael Blomstedt;77;1918;1949;ei_ole;Arne Rancken;"60°02'43""";"24°00'11""";Ola Westmanin puistotie 12, 10210 Inkoo
on;mmrk;272;Laitila;ei_ole;ei_ole;ei_ole;ei_ole;272_laitila_03.jpg;ei_ole;ei_ole;ei_ole;ei_ole;ei_ole;Aboca;Laitilan hautausmaa;ei_ole;ei_ole;ei_ole;22.7.1951;Hyvästit vaimolle ja lapselle;Jussi Vikainen;60.878737;21.69362;Keskuskatu, 23800 Laitila
on;mmrk;335;Marttila;ei_ole;ei_ole;ei_ole;ei_ole;335_marttila_03;Olli Salomäenpää;ei_ole;ei_ole;ei_ole;ei_ole;Someron kamerakerho ry;Marttilan sankarihautausmaa;ei_ole;118;07/12/39;1946;lepäävä soturi;Aarre Altonen;60.34.59; 22.54.02;Kirkkotie 3, 21490 Marttila 
on;mmrk;414;Parainen / Korppoo, Norrskata;ei_ole;ei_ole;ei_ole;ei_ole;414_parainen_korppoo_norrskata_03.jpg;ei_ole;ei_ole;ei_ole;ei_ole;ei_ole;Aboca;Norrskata kyrkogård;ei_ole;6;1945;ei_ole;Pro Patria;ei_ole;60.252157;21.590013;21750 Parainen
uusi;hmaa;751;Lieksa, Viekijärvi, vanha hautausmaa;751_viekijarvi_vanha_hautausmaa_01.jpg;Seppo Pölönen;751_viekijarvi_vanha_hautausmaa_02.jpg;Seppo Pölönen;751_viekijarvi_vanha_hautausmaa_03.jpg;Osmo Väänänen;751_viekijarvi_vanha_hautausmaa_04.jpg;Seppo Pölönen;Ei ole;ei_ole;Nurmeksen kameraseura;Viekijärven talvisodan sankarihautausmaa;Ilmari Wirkkala;14;ei ole;02/11/1952;ei ole;Ilmari Wirkkala;"63°29'04.5""";"29°37'13.3""";Kannelkoskentie 10, 81860 Viekijärvi
uusi;hmaa;754;Sipoo;754_sipoo_talvisota_01.jpg;Kristian Frantz;754_sipoo_talvisota_02.jpg;Kristian Frantz;754_sipoo_talvisota_03.jpg;Kristian Frantz;754_sipoo_talvisota_03.jpg;Kristian Frantz;ei_ole;ei_ole;Amatörfotografklubben i Helsingfors rf;Sipoon Vanhan kirkon hautausmaa / Gravgården vid Sibbo Gamla kyrka;ei_ole;102;ei_ole;1951;Fallna för fosterlandet 1939-41;ei_ole;"60°22' 8.213"" ";"25°15' 33.329""";Brobölentie 68, 04130 Sipoo / Brobölevägen 68, 04130 Sibbo
ei_ole;hmaa;900;Lahti, läntinen hautausmaa;ei_ole;ei_ole;ei_ole;ei_ole;ei_ole;ei_ole;ei_ole;ei_ole;ei_ole;ei_ole;ei_ole;ei_ole;ei_ole;ei_ole;ei_ole;ei_ole;ei_ole;ei_ole;ei_ole;ei_ole;ei_ole
ei_ole;hmaa;900;Lahti, Mustankallio;ei_ole;ei_ole;ei_ole;ei_ole;ei_ole;ei_ole;ei_ole;ei_ole;ei_ole;ei_ole;ei_ole;ei_ole;ei_ole;ei_ole;ei_ole;ei_ole;ei_ole;ei_ole;ei_ole;ei_ole;ei_ole
