Alue;nro;nykyiset_kunnat;kuva_1_yleiskuva_sankarihautausmaasta;kuva_1_kuvaajan_nimi;kuva_2_yksittäinen_hauta_risteineen_muistolaattoineen;kuva_2_kuvaajan_nimi;kuva_3_muistomerkki;kuva_3_kuvaajan_nimi;kuva_4_yleiskuva;kuva_4_kuvaajan_nimi;kuva_5_muu_muistomerkki;kuva_5_kuvaajan_nimi;kuvaukset_toteuttanut_kameraseura;hautausmaan_nimi;arkkitehti;hautoja;perustettu;paljastettu;nimi;kuvanveistäjä;pituus_n;leveys_e;tarkka_katuosoite
3;530;Salo, Uskelan kirkkohautausmaa;530_salo_uskelan_kirkkohautausmaa_01.jpg;Lassi Ritamäki;530_salo_uskelan_kirkkohautausmaa_02.jpg;Jussi Helimäki;530_salo_uskelan_kirkkohautausmaa_03.jpg;Lassi Ritamäki;530_salo_uskelan_kirkkohautausmaa_04.jpg;Lassi Ritamäki;ei_ole;;Kara-Kamerat ry;Uskelan kirkkohautausmaa;Aulis Blomstedt;161;;1951;Kenelle kellot soivat;Sakari Tohka;;;Sairaalantie 5, 24130 Salo
2;543;Savitaipale;543_savitaipale_01.jpg;Jukka Kytömäki ;543_savitaipale_02.jpg;Jukka Kytömäki ;543_savitaipale_03.jpg;Jukka Kytömäki ;543_savitaipale_04.jpg;Jukka Kytömäki ;543_savitaipale_05.jpg;Jukka Kytömäki ;Mäntyharjun kameraseura ry;;;285;;1961;;Viljo Savikurki;61° 11′ 58″ ;27° 41′ 10″;Kirkkotie 2,    54800 Savitaipale
18;552;Seinäjoki / Nurmo;552_seinajoki_nurmo_01.jpg;Petri Naukkarinen;552_seinajoki_nurmo_02.jpg;Petri Naukkarinen;552_seinajoki_nurmo_03.jpg;Petri Naukkarinen;552_seinajoki_nurmo_04.jpg;Petri Naukkarinen;ei_ole;;Seinäjoen Kamerakerho;Seinäjoen Seurakunnan Nurmon hautausmaa;ei_ole;164;1918;1/7/1951;Siunaus ja rauha;Kalervo Kallio;62.838529;22.907954;Nurmonjoentie 17, 60550 Nurmo 
18;553;Seinäjoki / Peräseinäjoki;553_seinajoki_peraseinajoki_01.jpg;Petri Naukkarinen;553_seinajoki_peraseinajoki_02.jpg;Petri Naukkarinen;553_seinajoki_peraseinajoki_03.jpg;Petri Naukkarinen;553_seinajoki_peraseinajoki_04.jpg;Petri Naukkarinen;553_seinajoki_peraseinajoki_05.jpg;Petri Naukkarinen;Seinäjoen Kamerakerho;Seinäjoen Seurakunnan Peräseinäjoen hautausmaa;ei_ole;223;1918;10/18/1953;Sotaan lähto;Kalervo Kallio;62.562488;23.062599;Kirkkotie 32, 61100 Peräseinäjoki 
18;554;Seinäjoki / Ylistaro;554_seinajoki_ylistaro_01.jpg;Petri Naukkarinen;554_seinajoki_ylistaro_02.jpg;Petri Naukkarinen;554_seinajoki_ylistaro_03.jpg;Petri Naukkarinen;554_seinajoki_ylistaro_04.jpg;Petri Naukkarinen;554_seinajoki_ylistaro_05.jpg;Petri Naukkarinen;Seinäjoen Kamerakerho;Seinäjoen Seurakunnan Ylistaron sankarihautausmaa;Arvo Kostunen;305;ei_ole;1959;Talvi- ja jatkosodan muistomerkki;Kalervo Kallio;62.950393;22.531297;Kaukolanraitti, 61400 Ylistaro
16;555;Sievi;555_sievi_01.jpg;Simo Porkola;555_sievi_02.jpg;Simo Porkola;555_sievi_03.jpg;Simo Porkola;555_sievi_04.jpg;Simo Porkola;ei_ole;Simo Porkola;Kannuksen kamerakerho;Sievin sankarihautausmaa;;162;;;;;"63° 54' 33,748""";"24° 30' 38,094""";Haikolantie 44, 85410 Sievi
3;569;Siuntio;569_siuntio_01.jpg;Vesa Mönkkönen;569_siuntio_02.jpg;Vesa Mönkkönen;569_siuntio_03.jpg;Jorma Ojama;569_siuntio_04.jpg;Vesa Mönkkönen;569_siuntio_05.jpg;ei_ole;Vihdin kameraseura ry;ei_ole;ei_ole;81;12/1939;15/05/49;ei_ole;Uuno Luoma;"60°10'36""";"24°12'14""";Suitiantie 51, 02570 Siuntio 
6;575;Sonkajärvi;575_sonkajarvi_01.jpg;Jari Intonen;575_sonkajarvi_02.jpg;Jari Intonen;575_sonkajarvi_03.jpg;Jari Intonen;575_sonkajarvi_04.jpg;Jari Intonen;ei_ole;;Iisalmen Kameraseura ry;Sonkajärven hautausmaan sankarihauta-alue;ei_ole;185;ei_ole;1957;Uhrista versoo tulevaisuus;Hannes Autere;63.40.17;27.31.15;Rutakontie 3, 74300 Sonkajärvi
6;577;Sonkajärvi, Sukeva;577_sonkajarvi_sukeva_01.jpg;Jari Intonen;577_sonkajarvi_sukeva_02.jpg;Jari Intonen;577_sonkajarvi_sukeva_03.jpg;Jari Intonen;577_sonkajarvi_sukeva_04.jpg;Jari Intonen;ei_ole;;Iisalmen Kameraseura ry;Sukevan sankarihautausmaa;ei_ole;48;ei_ole;1961;Vapuden ja elämän tulta kädessään vaaliva nainen;Hannes Autere;63.52.30;27.25.55;Raudanjoentie 21, 74340 Sukeva
24;578;Sotkamo;578_sotkamo_01.jpg;Arto Mäkeläinen;578_sotkamo_02.jpg;Arto Mäkeläinen;578_sotkamo_03.jpg;Pasi Pennanen;ei_ole;;ei_ole;;Kajaanin kamerakerho;Sotkamon sankarihautausmaa;ei_ole;384;ei_ole;1950;ei_ole;Arkkitehti Virkkala, valmistaja Nurmeksen Kiviveistämö;64.07.34.2;28.24.18.1;Rauhantie 11, 88600 Sotkamo
2;580;Sulkava;580_sulkava_01.jpg;Veikko Lipsanen;580_sulkava_02.jpg;Veikko Lipsanen;580_sulkava_03.jpg;Veikko Lipsanen;580_sulkava_04.jpg;Veikko Lipsanen;580_sulkava_05.jpg;Veikko Lipsanen;Juvan kamerakerho;Sulkavan sankarihautausmaa;Ilmari Wirkkala;220;ei_ole;1921;ei_ole;Ilmari Wirkkala;61.47.20;28.22.26;Kirkkotie 1 58700 Sulkava 
2;581;Sulkava, Lohikoski;581_sulkava_lohikoski_01.jpg;Veikko Lipsanen;581_sulkava_lohikoski_02.jpg;Veikko Lipsanen;581_sulkava_lohikoski_03.jpg;Veikko Lipsanen;581_sulkava_lohikoski_04.jpg;Veikko Lipsanen;ei_ole;;Juvan kamerakerho;Lohikosken sankarihautausmaa;ei_ole;49;ei_ole;1948;Vapauden risti;Ilmari Wirkkala;61.36.37;28.42.00;Kappelitie 12 58620 Lohilahti
7;586;Sysmä;586_sysma_01.jpg;Heikki Koivisto;586_sysma_02.jpg;Heikki Koivisto;586_sysma_03.jpg;Heikki Koivisto;586_sysma_04.jpg;Heikki Koivisto;586_sysma_05.jpg;Heikki Koivisto;Fotoklubi Lahti;Pyhän Olavin kirkon hautausmaa ;Ilmari Wirkkala;338;1946;18894;ei_ole;Lauri Leppänen;61.49691;25.669769;Suopellontie 19, 19700 Sysmä
3;593;Tammela;593_tammela_01.jpg;Matti Nieminen;593_tammela_02.jpg;Matti Nieminen;593_tammela_03.jpg;Matti Nieminen;593_tammela_04.jpg;Matti Nieminen;ei_ole;;Karkkilan kameraseura ry;Tammelan sankarihautausmaa;ei_ole  (toimikunta);214;1939;1950;Ristin suojassa;Matti Visanti;60.48.37;23.45.40;Tammelantie,  31300 Tammela
16;604;Toholampi;604_toholampi_01.jpg;Veli Männistö;604_toholampi_02.jpg;Veli Männistö;604_toholampi_03.jpg;Veli Männistö;604_toholampi_04.jpg;Veli Männistö;604_toholampi_05.jpg;Veli Männistö;Kannuksen kamerakerho;Toholammin sankarihaudat;Reijo Niemi;134;1947;1952;ei_ole;Kalervo Kallio;"63° 45' 52,135""";"24° 16' 11,103""";Kirkkotie 143, 69300 Toholampi
20;611;Turku, Kakskerta;611_turku_kakskerta_01.jpg;Marko Raitala;611_turku_kakskerta_02.jpg;Marko Raitala;611_turku_kakskerta_03.jpg;Marko Raitala;611_turku_kakskerta_04.jpg;Marko Raitala;ei_ole;;Kaarinan Kuvaajat ry;Kakskerran hautausmaa;ei_ole;17;ei_ole;ei_ole; ;ei_ole;60.36.97,27;22.21.94,37;Kakskerran kirkkotie 110  20960 Turku
9;625;Urjala;625_urjala_01.jpg;Markku Teerikorpi;625_urjala_02.jpg;Markku Teerikorpi;625_urjala_03.jpg;Markku Teerikorpi;625_urjala_04.jpg;Markku Teerikorpi;625_urjala_05.jpg;Markku Teerikorpi;Kameraseura 74 Valkeakoski ;Urjalan Halkivahan sankarihauta-alue;Olof Stenius;283;ei_ole;7/5/1953;pronssiristi ja 12m pitkä pronssilaatta;Olof Stenius;61.4.56;23.32.43;Urjalantie 12, 31760 Urjala
9;626;Urjala, Halkivaha;626_urjala_halkivaha_01.jpg;Markku Teerikorpi;626_urjala_halkivaha_02.jpg;Markku Teerikorpi;626_urjala_halkivaha_03.jpg;Markku Teerikorpi;;;;;Kameraseura 74 Valkeakoski ;Manamansalon Sankarihautausmaa;Antti Salmenlinna;15;1958;7/27/1958;ei_ole;Antti Salmenlinna;61.11.46;23.18.21;Vesilahdentie 1530,  31830 Halkivaha
24;638;Vaala, Manamansalo;638_vaala_manamansalo_01.jpg;Ismo Prauda;638_vaala_manamansalo_02.jpg;Ismo Prauda;638_vaala_manamansalo_03.jpg;Ismo Prauda;ei_ole;;ei_ole;;Kajaanin kamerakerho;Säräisniemen Sankarihautausmaa;ei_ole;6;ei_ole;ei_ole;ei_ole;ei_ole;64.22.31.4;27.07.14.7;Manamansalontie 3470 88340 Vaala
