Alue;nro;nykyiset_kunnat;kuva_1_yleiskuva_sankarihautausmaasta;kuva_1_kuvaajan_nimi;kuva_2_yksittäinen_hauta_risteineen_muistolaattoineen;kuva_2_kuvaajan_nimi;kuva_3_muistomerkki;kuva_3_kuvaajan_nimi;kuva_4_yleiskuva;kuva_4_kuvaajan_nimi;kuva_5_muu_muistomerkki;kuva_5_kuvaajan_nimi;kuvaukset_toteuttanut_kameraseura;hautausmaan_nimi;arkkitehti;hautoja;perustettu;paljastettu;nimi;kuvanveistäjä;pituus_n;leveys_e;tarkka_katuosoite
23;656;Vesilahti;656_vesilahti_01.jpg;Kari Tolonen;656_vesilahti_02.jpg;Kari Tolonen;656_vesilahti_03.jpg;Kari Tolonen;656_vesilahti_04.jpg;Kari Tolonen;656_vesilahti_05.jpg;;Mielikuvitus;Pirkkalan hautausmaa;Mikael Nordensvan;168;1939;1946;Sankaripatsas;Richard Rautalin;;;37470 Vesilahti 
9;442;Pirkkala;442_pirkkala_01.jpg;Kari Tolonen;442_pirkkala_02.jpg;Kari Tolonen;442_pirkkala_03.jpg;Kari Tolonen;ei_ole;ei_ole;442_pirkkala_05.jpg;Kari Tolonen;Mielikuvitus;;ei_ole;44;1947;1947;sankarihautamuistomerkki;Ilmari Virkkala;61°27'37.2;23°34'03.8;Anian rantatie 226  33980 Pirkkala
9;136;Jämsä;136_jamsa_01.jpg;Juha Jokinen;136_jamsa_02.jpg;Juha Jokinen;136_jamsa_03.jpg;Juha Jokinen;136_jamsa_04.jpg;Juha Jokinen;136_jamsa_05.jpg;Juha Jokinen;Tampereen valokuvausseura ry;;puutarhateknikko T. Santakarin (kunnostus);167;1939;1920;1918 kaatuneiden muistomerkki;Evert Porilan;61°52'22.6'';"25°10'52.9""";Koskentie 30
9;137;Jämsä / Jämsänkoski;137_jamsa_jamsankoski_01.jpg;Juha Jokinen;137_jamsa_jamsankoski_02.jpg;Juha Jokinen;137_jamsa_jamsankoski_03.jpg;Juha Jokinen;137_jamsa_jamsankoski_04.jpg;Juha Jokinen;ei_ole;;Tampereen valokuvausseura ry;;taiteilija Ilmari Wirkkala;56;1946;1951;ei_ole;M. Nordenswan;"61°55'26.8""";"25°09'13.0""";Rauhantie 4
9;138;Jämsä / Jämsänkoski, Koskenpää;138_jamsa_jamsankoski_koskenpaa_01.jpg;Juha Jokinen;138_jamsa_jamsankoski_koskenpaa_02.jpg;Juha Jokinen;138_jamsa_jamsankoski_koskenpaa_03.jpg;Juha Jokinen;ei_ole;;ei_ole;;Tampereen valokuvausseura ry;;diplomiarkkitehti Laila Niemioja;45;1950;1950/reliefi 1977;;Muistomerkki Laila Niemioja reliefi kuvanveistäjä Pentti Papinaho;"62°04'58.1""";"25°08'37.0""";Petäjävedentie 20
9;139;Jämsä / Kuorevesi;139_jamsa_kuorevesi_01.jpg;Juha Jokinen;139_jamsa_kuorevesi_02.jpg;Juha Jokinen;139_jamsa_kuorevesi_03.jpg;Juha Jokinen;139_jamsa_kuorevesi_04.jpg;Juha Jokinen;ei löytynyt;;Tampereen valokuvausseura ry;;;129;;10/13/1957;;;"61°55'59.3""";"24°43'37.8""";Kirkkoniementie 120
9;241;Kuhmoinen;241_kuhmoinen_01.jpg;Juha Jokinen;241_kuhmoinen_02.jpg;Juha Jokinen;241_kuhmoinen_03.jpg;Juha Jokinen;241_kuhmoinen_04.jpg;Juha Jokinen;ei_ole;;Tampereen valokuvausseura ry;;Tampereen kaupunginarkkitehti Bertel Strömmer;209;1947;6/5/1949;ei_ole;taiteilija Carl Wilhelms;"61°33'38.6""";"25°10'33.5""";Kirkkotie 3
9;376;Nokia;376_nokia_01.jpg;Mikko Lappalainen;376_nokia_02.jpg;Mikko Lappalainen;376_nokia_03.jpg;Mikko Lappalainen;ei_ole;;ei_ole;;Tampereen valokuvausseura ry;;;;;;;;61°28′47″;23°31′55″;Pirkkalaistie 22
9;378;Nokia, Tottijärvi;378_nokia_tottijarvi_01.jpg;Mikko Lappalainen;378_nokia_tottijarvi_02.jpg;Mikko Lappalainen;378_nokia_tottijarvi_03.jpg;Mikko Lappalainen;ei_ole;;ei_ole;;Tampereen valokuvausseura ry;Virkkalan hautausmaa;;;;;;;61°23′52″;23°20′34″;Karukantie 4
3;310;Lohjan kunta;310_lohjan_kunta_01.jpg;Aarto Nevala;310_lohjan_kunta_02.jpg;Aarto Nevala;310_lohjan_kunta_03.jpg;Aarto Nevala;310_lohjan_kunta_04.jpg;Aarto Nevala;ei_ole;ei_ole;Lohjan kameraseura ry;Perniön kirkon hautausmaa;Ilmari Wirkkala;29;1940;ei tiedossa;;Ilmari Wirkkala;60°11'04'';23°59'70'';Virkkalantie 1, 08700 Lohja
3;526;Salo / Perniö;526_salo_pernio_01.jpg;Heikki Seppänen;526_salo_pernio_02.jpg;Heikki Seppänen;526_salo_pernio_03.jpg;Heikki Seppänen;526_salo_pernio_04.jpg;Heikki Seppänen;ei_ole;Heikki Seppänen;Lohjan kameraseura ry;Perttelin hautausmaa;;ei tiedossa;ei tiedossa;ei tiedossa;Vapauden uhri;Yrjö Liipola;"60°06'46.7""";"22°57'09.5""";Lupajantie 6, 25500 Salo
3;527;Salo / Pertteli;527_salo_pertteli_01.jpg;Sepi & Heikki;527_salo_pertteli_02.jpg;Sepi & Heikki;527_salo_pertteli_03.jpg;Sepi & Heikki;527_salo_pertteli_04.jpg;Sepi & Heikki;ei_ole;Sepi & Heikki;Lohjan kameraseura ry;Särkisalon hautausmaa;;135;;05.12.1954;;Katri Luostarinen ja Emil Filen;60.447477;23.247503;Kaivolantie 150, 25360 Pertteli
3;529;Salo / Särkisalo, Särkisalo;529_salo_sarkisalo_sarkisalo_01.jpg;Heikki Seppänen;529_salo_sarkisalo_sarkisalo_02.jpg;Heikki Seppänen;529_salo_sarkisalo_sarkisalo_03.jpg;Heikki Seppänen;529_salo_sarkisalo_sarkisalo_04.jpg;Heikki Seppänen;ei_ole;Heikki Seppänen;Lohjan kameraseura ry;Kustavin hautausmaa;;36;;24.6.1950;;Harald Söderman;"60°06'46.7""";"22°57'09.5""";Kirkkopolku 4, 25630 Särkisalo
20;259;Kustavi;259_kustavi_01.jpg;Arto Kangas;259_kustavi_02.jpg;Arto Kangas;259_kustavi_03.jpg;Arto Kangas;259_kustavi_04.jpg;Arto Kangas;ei_ole;;Turun Kamerat ry;Nauvon hautausmaa;Aarno Hellemaa;47;;1954;Merelle tähystäjät;Jussi Vikainen;60.32.63;21.21.27;Kivimaantie 30 23360 Kustavi
20;415;Parainen / Nauvo;415_parainen_nauvo_01.jpg;Pekka Salmi;415_parainen_nauvo_02.jpg;Pekka Salmi;415_parainen_nauvo_03.jpg;Pekka Salmi;415_parainen_nauvo_04.jpg;Pekka Salmi;ei_ole;;Turun Kamerat ry;Taivassalon hautausmaa;ei_ole;18;1950-luvullaei_ole;;ei_ole;ei_ole;60.11.36;21.54.28;Kirkkolaidun 1, 21660 Nauvo
20;592;Taivassalo;592_taivassalo_01.jpg;Heikki Nilanen;592_taivassalo_02.jpg;Heikki Nilanen;592_taivassalo_03.jpg;Heikki Nilanen;592_taivassalo_04.jpg;Heikki Nilanen;ei_ole;;Turun Kamerat ry;Katariinan hautausmaa;;71;;;;Jussi Vikainen;60.56.34;21.60.68;Keskustie 4, 23310 Taivassalo
20;610;Turku, Katariina;610_turku_katariina_01.jpg;Visa Jokela;610_turku_katariina_02.jpg;Visa Jokela;610_turku_katariina_03.jpg;Visa Jokela;610_turku_katariina_04.jpg;Visa Jokela;ei_ole;;Turun Kamerat ry;Maarian hautausmaa;;75;1450-1480;1950;Isänmaan puolesta;Jussi Vikainen;60.46.21;22.29.35;Kirkkotie 46, 20380 Turku
20;613;Turku, Maaria;613_turku_maaria_01.jpg;Visa Jokela;613_turku_maaria_02.jpg;Visa Jokela;613_turku_maaria_03.jpg;Visa Jokela;613_turku_maaria_04.jpg;Visa Jokela;ei_ole;;Turun Kamerat ry;Paattisten hautausmaa;;;1440-1470;;Isänmaan puolesta;;;;Maunu Tavastinkatu 2, 20460 Turku
20;614;Turku, Paattinen;614_turku_paattinen_01.jpg;Matti J. Niemi;614_turku_paattinen_02.jpg;Matti J. Niemi;614_turku_paattinen_03.jpg;Matti J. Niemi;614_turku_paattinen_04.jpg;Matti J. Niemi;ei_ole;;Turun Kamerat ry;Kakskerran hautausmaa;;16;1580;1950;Ihminen miekalta säästynyt, muista Herraa;Vilho Aalto;60.59.11;22.38.09;Paattistentie 847, 20400 Paattinen
20;615;Turku, Kakskerta;615_turku_kakskerta_01.jpg;Visa Jokela;615_turku_kakskerta_02.jpg;Visa Jokela;615_turku_kakskerta_03.jpg;Visa Jokela;615_turku_kakskerta_04.jpg;Visa Jokela;615_turku_kakskerta_05.jpg;Visa Jokela;Turun Kamerat ry;Vanhan kirkon puisto;;17;1769;;Vapautemme lunnaita;;60.36.97;22.21.97;Kakskerran kirkkotie 110, 20960 Turku
20;633;Uusikaupunki;633_uusikaupunki_01.jpg;Kauko Lehtonen;633_uusikaupunki_02.jpg;Kauko Lehtonen;633_uusikaupunki_03.jpg;Kauko Lehtonen;633_uusikaupunki_04.jpg;Kauko Lehtonen;ei_ole;;Turun Kamerat ry;Kalannin hautausmaa;ei tiedossa;74;;1952;Kalastajavaimon suru;Jussi Vikainen;60.47.57;21.24.16;Rantakatu 20, 23500 Uusikaupunki
20;634;Uusikaupunki / Kalanti;634_uusikaupunki_kalanti_011.jpg;Kauko Lehtonen;634_uusikaupunki_kalanti_02.jpg;Kauko Lehtonen;634_uusikaupunki_kalanti_03.jpg;Kauko Lehtonen;634_uusikaupunki_kalanti_04.jpg;Kauko Lehtonen;ei_ole;;Turun Kamerat ry;Lokalahden hautausmaa;ei tiedossa;88;;1955;Sankaripatsas;Jussi Vikainen;60.49.01;21.33.32;Pyhän Olavintie 6, 23600Kalanti
20;636;Uusikaupunki, Lokalahti;636_uusikaupunki_lokalahti_01.jpg;Aarni Tenhosaari;636_uusikaupunki_lokalahti_02.jpg;Aarni Tenhosaari;636_uusikaupunki_lokalahti_03.jpg;Aarni Tenhosaari;636_uusikaupunki_lokalahti_04.jpg;Aarni Tenhosaari;ei_ole;;Turun Kamerat ry;ei_ole;;41;;1949;Hiljainen mies;Jussi Vikainen;60.68.15;21.46.47;Palomäentie 2 Lokalahti, 23450 Uusikaupunki
19;429;Pello, Turtola;429_pello_turtola_01.jpg;Seppo Kemppainen;429_pello_turtola_02.jpg;Seppo Kemppainen;429_pello_turtola_03.jpg;Seppo Kemppainen;429_pello_turtola_04.jpg;Seppo Kemppainen;429Pello_turtola_ei_ole.jpg;Seppo Kemppainen;Tornion kameraseura;Lamminpään Hautausmaa;ei_ole;168;1/15/1940;1957;ei_ole;Kalervo Kallio;66.39.16,855;23.52.43,467;Torniontie 134, 95645 Turtola
9;596;Tampere, Lamminpää;596_tampere_lamminpaa_01.jpg;;596_tampere_lamminpaa_02.jpg;;596_tampere_lamminpaa_03.jpg;;596_tampere_lamminpaa_04.jpg;;596_tampere_lamminpaa_05.jpg;; Tampereen kameraseura ry;Muroleen Hautausmaa;Bertel Strömmer;38;1939;1947;ei_ole;Richard Rautalin;61°31’21,6’’;23°37’19’’;Rauhantie 21
9;512;Ruovesi, Murole;512_ruovesi_murole_01.jpg;;512_ruovesi_murole_02.jpg;;512_ruovesi_murole_03.jpg;;512_ruovesi_murole_04.jpg;;512_ruovesi_murole_05.jpg;; Tampereen kameraseura ry;ei_ole;ei_ole;37;1939;ei_ole;ei_ole;ei_ole;61°49’56’’;23°57’04’’;Muroleentie 740
2;515;Rääkkylä;515_raakkyla_01.jpg;;515_raakkyla_02.jpg;;515_raakkyla_03.jpg;;ei_ole;;ei_ole;;;ei_ole;ei_ole;181;1939;ei_ole;ei_ole;Teuvo Kotilainen ;;;Kirkkotie 5 82300 Rääkkylä
10;585;Suonenjoki;585_suonenjoki_01.jpg;Pekka Raudaskoski;585_suonenjoki_02.jpg;Pekka Raudaskoski;585_suonenjoki_03.jpg;Pekka Raudaskoski;585_suonenjoki_04.jpg;Pekka Raudaskoski;ei_ole;;Sisä-Savon kameraseura;Vanha hautausmaa;ei_ole;287;ei_ole;02/10/49;ei_ole;Heikki Konttinen;"62°37'20.9""";"27°07'41.0""";Asemakatu 11, 77600 Suonenjoki 
10;655;Vesanto;655_vesanto_01.jpg;Mauri Nuutinen;655_vesanto_02.jpg;Mauri Nuutinen;655_vesanto_03.jpg;Mauri Nuutinen;655_vesanto_04.jpg;Mauri Nuutinen;ei_ole;;Sisä-Savon kameraseura;;ei_ole;130;ei_ole;ei_ole;ei_ole;ei_ole;"62°55'55.8""";"26°24'45.8""";Koulutie 1, 72300 Vesanto
